date,city,county,state,venue,candidate,rally,name,lat,lon,DMA,GEOID
2016-10-04,Prescott Valley,NA,AZ,Prescott Valley Event Center,trump,"Prescott Valley Event Center, Prescott Valley, AZ","3201 N, Main St, Prescott Valley, AZ 86314, USA",34.5889824,-112.3367563,PHOENIX (AZ),04025
2016-10-05,Henderson,NA,NV,Henderson Pavilion,trump,"Henderson Pavilion, Henderson, NV","200 S Green Valley Pkwy, Henderson, NV 89012, USA",36.019262,-115.081401,LAS VEGAS (NV),32003
2016-10-05,Reno,NA,NV,Reno-Sparks Convention Center,trump,"Reno-Sparks Convention Center, Reno, NV","4590 S Virginia St, Reno, NV 89502, USA",39.485859,-119.79211,RENO (NV),32031
2016-10-10,Ambridge,NA,PA,Ambridge Area High School,trump,"Ambridge Area High School, Ambridge, PA","909 Duss Ave, Ambridge, PA 15003, USA",40.592352,-80.2264272,PITTSBURGH (PA),42007
2016-10-10,Wilkes-Barre,NA,PA,Mohegan Sun Arena at Casey Plaza,trump,"Mohegan Sun Arena at Casey Plaza, Wilkes-Barre, PA","255 Highland Park Blvd, Wilkes-Barre Township, PA 18702, USA",41.240536,-75.848551,WILKES BARRE (PA) - SCRANTON (PA),42079
2016-10-11,Panama City Beach,NA,FL,"Aaron Bessant Amphitheater, Aaron Bessant Park",trump,"Aaron Bessant Amphitheater, Aaron Bessant Park, Panama City Beach, FL","600 S Pier Park Dr, Panama City Beach, FL 32413, USA",30.220178400000002,-85.8767275,PANAMA CITY (FL),12005
2016-10-12,Ocala,NA,FL,Southeastern Livestock Pavilion,trump,"Southeastern Livestock Pavilion, Ocala, FL","2232 NE Jacksonville Rd, Ocala, FL 34470, USA",29.2109973,-82.1305818,ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL),12083
2016-10-12,Lakeland,NA,FL,Lakeland Linder International Airport,trump,"Lakeland Linder International Airport, Lakeland, FL","Lakeland Linder International Airport, 3900 Don Emerson Dr, Lakeland, FL 33811, USA",27.9945173,-82.0143138,TAMPA (FL) - ST. PETERSBURG (FL) - SARASOTA (FL),12105
2016-10-13,West Palm Beach,NA,FL,South Florida Fairgrounds Expo Center,trump,"South Florida Fairgrounds Expo Center, West Palm Beach, FL","9067 Southern Blvd, West Palm Beach, FL 33411, USA",26.6816548,-80.1898848,WEST PALM BEACH (FL) - FT. PIERCE (FL),12099
2016-10-13,Cincinnati,NA,OH,U.S. Bank Arena,trump,"U.S. Bank Arena, Cincinnati, OH","100 Broadway St, Cincinnati, OH 45202, USA",39.0979906,-84.50447869999999,CINCINNATI (OH),39061
2016-10-14,Greensboro,NA,NC,White Oak Amphitheatre,trump,"White Oak Amphitheatre, Greensboro, NC","1921 W Gate City Blvd, Greensboro, NC 27403, USA",36.05569029999999,-79.82843059999999,GREENSBORO (NC) - HIGH POINT (NC) - WINSTON SALEM (NC),37081
2016-10-14,Charlotte,NA,NC,Charlotte Convention Center,trump,"Charlotte Convention Center, Charlotte, NC","501 S College St, Charlotte, NC 28202, USA",35.2230791,-80.84609739999999,CHARLOTTE (NC),37119
2016-10-15,Portsmouth,NA,NH,Toyota of Portsmouth,trump,"Toyota of Portsmouth, Portsmouth, NH","150 Greenleaf Ave, Portsmouth, NH 03801, USA",43.0583036,-70.7726522,BOSTON (MA) - MANCHESTER (NH),33015
2016-10-15,Bangor,NA,ME,Cross Insurance Center,trump,"Cross Insurance Center, Bangor, ME","515 Main St, Bangor, ME 04401, USA",44.788802,-68.77929,BANGOR (ME),23019
2016-10-17,Green Bay,NA,WI,KI Convention Center,trump,"KI Convention Center, Green Bay, WI","333 Main St, Green Bay, WI 54301, USA",44.5177884,-88.01183639999999,GREEN BAY (WI) - APPLETON (WI),55009
2016-10-18,Colorado Springs,NA,CO,Norris-Penrose Event Center,trump,"Norris-Penrose Event Center, Colorado Springs, CO","1045 Lower Gold Camp Rd # 3, Colorado Springs, CO 80905, USA",38.8229807,-104.8484216,COLORADO SPRINGS (CO) - PUEBLO (CO),08041
2016-10-18,Grand Junction,NA,CO,"West Star Aviation, Grand Junction Regional Airport",trump,"West Star Aviation, Grand Junction Regional Airport, Grand Junction, CO","796 Heritage Way, Grand Junction, CO 81506, USA",39.1190471,-108.5237651,GRAND JUNCTION (CO) - MONTROSE (CO),08077
2016-10-20,Delaware,NA,OH,Delaware County Fair,trump,"Delaware County Fair, Delaware, OH","236 Pennsylvania Ave, Delaware, OH 43015, USA",40.3140332,-83.0758551,COLUMBUS (OH),39041
2016-10-21,Fletcher,NA,NC,WNC Agricultural Center,trump,"WNC Agricultural Center, Fletcher, NC","761 Boylston Hwy, Fletcher, NC 28732, USA",35.426916,-82.53359379999999,GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC),37089
2016-10-21,Johnstown,NA,PA,Cambria County War Memorial Arena,trump,"Cambria County War Memorial Arena, Johnstown, PA","1780, 326, Napoleon St, Johnstown, PA 15901, United States",40.3233444,-78.9232131,JOHNSTOWN (PA) - ALTOONA (PA),42021
2016-10-21,Newtown Township,NA,PA,Newtown Athletic Club Sports Training Center,trump,"Newtown Athletic Club Sports Training Center, Newtown Township, PA","120 Pheasant Run, Newtown, PA 18940, USA",40.2234091,-74.9116703,PHILADELPHIA (PA),42017
2016-10-22,Virginia Beach,NA,VA,"Library Plaza, Regent University",trump,"Library Plaza, Regent University, Virginia Beach, VA","1000 Regent University Dr, Virginia Beach, VA 23464, USA",36.8013502,-76.1969459,NORFOLK (VA) - PORTSMOUTH (VA) - NEWPORT NEWS (VA),51810
2016-10-22,Cleveland,NA,OH,I-X Center,trump,"I-X Center, Cleveland, OH","1 I-X Center Dr, Cleveland, OH 44135, USA",41.399359,-81.853171,CLEVELAND (OH) - AKRON (OH) - CANTON (OH),39035
2016-10-23,Naples,NA,FL,Collier County Fairgrounds,trump,"Collier County Fairgrounds, Naples, FL","751 39th Ave NE, Naples, FL 34120, USA",26.3066209,-81.588431,FT. MYERS (FL) - NAPLES (FL),12021
2016-10-24,St. Augustine,NA,FL,St. Augustine Amphitheatre,trump,"St. Augustine Amphitheatre, St. Augustine, FL","1340C A1A S, St. Augustine, FL 32080, USA",29.8746786,-81.2832636,JACKSONVILLE (FL),12109
2016-10-24,Tampa,NA,FL,MidFlorida Credit Union Amphitheatre,trump,"MidFlorida Credit Union Amphitheatre, Tampa, FL","4802 US-301, Tampa, FL 33610, USA",27.9936985,-82.3644398,TAMPA (FL) - ST. PETERSBURG (FL) - SARASOTA (FL),12057
2016-10-25,Sanford,NA,FL,"Million Air Orlando, Orlando Sanford International Airport",trump,"Million Air Orlando, Orlando Sanford International Airport, Sanford, FL","Million Air Orlando, 2841 Flight Line Ave, Sanford, FL 32773, USA",28.7769072,-81.2505063,ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL),12117
2016-10-25,Tallahassee,NA,FL,Tallahassee Car Museum,trump,"Tallahassee Car Museum, Tallahassee, FL","6800 Mahan Dr, Tallahassee, FL 32308, USA",30.4860162,-84.16285169999999,TALLAHASSEE (FL) - THOMASVILLE (GA),12073
2016-10-26,Kinston,NA,NC,"Kinston Jet Center, Kinston Regional Jetport",trump,"Kinston Jet Center, Kinston Regional Jetport, Kinston, NC","2860 Jetport Rd, Kinston, NC 28504, USA",35.3242752,-77.611767,GREENVILLE (NC) - NEW BERN (NC) - WASHINGTON (NC),37107
2016-10-27,Springfield,NA,OH,Clark County Fairgrounds,trump,"Clark County Fairgrounds, Springfield, OH","4401 S Charleston Pike, Springfield, OH 45505, USA",39.8983609,-83.72872679999999,DAYTON (OH),39023
2016-10-27,Toledo,NA,OH,SeaGate Convention Centre,trump,"SeaGate Convention Centre, Toledo, OH","401 Jefferson Ave, Toledo, OH 43604, USA",41.6493747,-83.5365831,TOLEDO (OH),39095
2016-10-27,Geneva,NA,OH,"Track and Field Building, SPIRE Institute",trump,"Track and Field Building, SPIRE Institute, Geneva, OH","5201 Spire Cir, Geneva, OH 44041, USA",41.773996,-80.9429269,CLEVELAND (OH) - AKRON (OH) - CANTON (OH),39007
2016-10-28,Manchester,NA,NH,Radisson Hotel Manchester Downtown,trump,"Radisson Hotel Manchester Downtown, Manchester, NH","700 Elm St, Manchester, NH 03101, USA",42.988283,-71.4642471,BOSTON (MA) - MANCHESTER (NH),33011
2016-10-28,Lisbon,NA,ME,Open Door Christian Academy,trump,"Open Door Christian Academy, Lisbon, ME","26 Gartley St, Lisbon, ME 04250, USA",44.0283877,-70.1041405,PORTLAND (ME) - AUBURN (ME),23001
2016-10-28,Cedar Rapids,NA,IA,McGrath Amphitheatre,trump,"McGrath Amphitheatre, Cedar Rapids, IA","475 1st St SW, Cedar Rapids, IA 52401, USA",41.973274,-91.66969209999999,CEDAR RAPIDS (IA) - WATERLOO (IA) - IOWA CITY (IA) - DUBUQUE (IA),19113
2016-10-29,Golden,NA,CO,Jefferson County Events Center,trump,"Jefferson County Events Center, Golden, CO","15200 W 6th Ave Frontage Rd, Golden, CO 80401, USA",39.7222235,-105.1709908,DENVER (CO),08059
2016-10-29,Phoenix,NA,AZ,Phoenix Convention Center,trump,"Phoenix Convention Center, Phoenix, AZ","100 N 3rd St, Phoenix, AZ 85004, USA",33.449759,-112.070973,PHOENIX (AZ),04013
2016-10-30,Las Vegas,NA,NV,The Venetian Las Vegas,trump,"The Venetian Las Vegas, Las Vegas, NV","3355 S Las Vegas Blvd, Las Vegas, NV 89109, USA",36.121174,-115.1696526,LAS VEGAS (NV),32003
2016-10-30,Greeley,NA,CO,"Bank of Colorado Arena, University of Northern Colorado",trump,"Bank of Colorado Arena, University of Northern Colorado, Greeley, CO","Butler-Hancock Athletics Center, 270 Alles Dr D, Greeley, CO 80631, USA",40.4022171,-104.7030436,DENVER (CO),08123
2016-10-30,Albuquerque,NA,NM,"Atlantic Aviation ABQ, Albuquerque International Sunport",trump,"Atlantic Aviation ABQ, Albuquerque International Sunport, Albuquerque, NM","Atlantic Aviation ABQ, 2505 Clark Carr Loop SE, Albuquerque, NM 87106, USA",35.0360351,-106.6195197,ALBUQUERQUE (NM) - SANTA FE (NM),35001
2016-10-31,Grand Rapids,NA,MI,DeltaPlex Arena,trump,"DeltaPlex Arena, Grand Rapids, MI","2500 Turner Ave NW, Walker, MI 49544, USA",43.009899,-85.680773,GRAND RAPIDS (MI) - KALAMAZOO (MI) - BATTLE CREEK (MI),26081
2016-10-31,Warren,NA,MI,"Sports & Expo Center, Macomb Community College South Campus",trump,"Sports & Expo Center, Macomb Community College South Campus, Warren, MI","906 B Hall St, Coffeyville, KS 67337, USA",37.03502539999999,-95.64132740000001,TULSA (OK),20125
2016-11-01,Eau Claire,NA,WI,W.L. Zorn Arena,trump,"W.L. Zorn Arena, Eau Claire, WI","Garfield Ave, Eau Claire, WI 54701, USA",44.7989096,-91.4985487,LA CROSSE (WI) - EAU CLAIRE (WI),55035
2016-11-02,Orlando,NA,FL,"CFE Arena, Central Florida Fairgrounds",trump,"CFE Arena, Central Florida Fairgrounds, Orlando, FL","12777 Gemini Blvd N, Orlando, FL 32816, USA",28.607225,-81.19736689999999,ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL),12095
2016-11-02,Pensacola,NA,FL,Maritime Park's Hunter Amphitheater,trump,"Maritime Park's Hunter Amphitheater, Pensacola, FL","S Devilliers St, Pensacola, FL, USA",30.4031006,-87.21734090000001,MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL),12033
2016-11-02,Miami,NA,FL,Bayfront Park,trump,"Bayfront Park, Miami, FL","Bayfront Park Station, Miami, FL 33131, USA",25.7730944,-80.1872841,MIAMI (FL) - FT. LAUDERDALE (FL),12086
2016-11-03,Jacksonville,NA,FL,Jacksonville Equestrian Center,trump,"Jacksonville Equestrian Center, Jacksonville, FL","13611 Normandy Blvd, Jacksonville, FL 32221, USA",30.2418761,-81.9084613,JACKSONVILLE (FL),12031
2016-11-03,Concord,NA,NC,Cabarrus Arena & Events Center,trump,"Cabarrus Arena & Events Center, Concord, NC","4751 NC-49, Concord, NC 28025, USA",35.3888468,-80.5004501,CHARLOTTE (NC),37025
2016-11-03,Selma,NA,NC,The Farm,trump,"The Farm, Selma, NC","215 Batten Rd, Selma, NC 27576, USA",35.5497215,-78.22468769999999,RALEIGH (NC) - DURHAM (NC) - FAYETTEVILLE (NC),37101
2016-11-04,Atkinson,NA,NH,Atkinson Country Club,trump,"Atkinson Country Club, Atkinson, NH","85 Country Club Dr, Atkinson, NH 03811, USA",42.8202398,-71.1795374,BOSTON (MA) - MANCHESTER (NH),33015
2016-11-04,Wilmington,NA,OH,"Airborne Maintenance & Engineering Services, Inc",trump,"Airborne Maintenance & Engineering Services, Inc, Wilmington, OH","145 Hunter Dr, Wilmington, OH 45177, USA",39.430194,-83.784742,CINCINNATI (OH),39027
2016-11-04,Hershey,NA,PA,Giant Center,trump,"Giant Center, Hershey, PA","Giant Center, Hershey, PA 17033, USA",40.287676,-76.670131,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA),42043
2016-11-05,Tampa,NA,FL,Florida State Fairgrounds,trump,"Florida State Fairgrounds, Tampa, FL","4800 US-301, Tampa, FL 33610, USA",27.989841,-82.365494,TAMPA (FL) - ST. PETERSBURG (FL) - SARASOTA (FL),12057
2016-11-05,Wilmington,NA,NC,Wilmington International Airport,trump,"Wilmington International Airport, Wilmington, NC","Wilmington International Airport (ILM), 1740 Airport Blvd, Wilmington, NC 28405, USA",34.2668931,-77.91052010000001,WILMINGTON (NC),37129
2016-11-05,Reno,NA,NV,Reno-Sparks Convention Center,trump,"Reno-Sparks Convention Center, Reno, NV","4590 S Virginia St, Reno, NV 89502, USA",39.485859,-119.79211,RENO (NV),32031
2016-11-05,Denver,NA,CO,National Western Complex,trump,"National Western Complex, Denver, CO","4655 Humboldt St, Denver, CO 80216, USA",39.7810107,-104.9714941,DENVER (CO),08031
